====================================================================================================
b434_checks.py -- THE CONTROL SUITE. ### EVERY ARM DECLARED ON THE LOCKED FACE.
  reading : POST-PUSH
====================================================================================================
  ### THE CHANGED PATHS, BY SIDE OF THIS ACT`S OWN START:
      this act`s unlisted writes : 0 ; inherited dirty : 0
      new act-tool files written : 1 ['b434_checks.py']
      the face`s declared cap    : 7

  arms declared on the face : 75
  arms run by this suite    : 75
  declared and NOT run      : 0 
  run and NOT declared      : 0 

  G-RECEIPT-IN-FULL                PASS the paste carries its own part marker and the face says IN FULL
  G-AMENDMENT-BANKED               PASS the amendment is banked with the paste and was scanned
  G-SCAN-CLEAN                     PASS the scan`s verdict line reads 0 hits
  G-STEPZERO-CENSUS                PASS both census records read TOTAL MISSING 0
  G-STEPZERO-PINS                  PASS the pin record reads 0 hard-failing and every repo 0/0
  G-STEPZERO-GUARD-AS-READ         PASS the face reports the guard`s number as it came, and says what it is
  G-SURVEY-NOMISS                  PASS the survey printed its own miss count and it is 0
  G-REG-LOCKED-FIRST               PASS the components bank carries the digest the face`s lock block does
  G-LOCKGATE-EIGHT                 PASS the lock gate read 8 gates, 8 passing, and permitted the lock
  G-SEAL-VERIFIES                  PASS the sealed body recomputes to the banked digest
  G-PRIOR-CLOSED                   PASS the prior act is closed at its own correspondence row marker
  G-SPAN-FROM-TOOL                 PASS the span comes from b363_span.py, whose run this act banked
  G-SPAN-BOTH-FIGURES              PASS both the raw count and the filed count are printed
  G-SPAN-TEN-FILED                 PASS the fold files ten acts and names them
  G-SPAN-NOT-TYPED                 PASS no span count is typed in the fold generator`s own prose
  G-TEN-ACTS-LISTED                PASS ten acts are listed in the filed fold`s table
  G-STRINGS-VERIFIED-IN-OWN-BANK   PASS all ten strings were verified in their own banks
  G-UNVERIFIED-NOT-ASSERTED        PASS the survey would have named any string it could not verify
  G-FOLD-ADDITIVE                  PASS git`s own numstat reports 0 deletions on FINDINGS.md
  G-FOLD-DELTA-POSITIVE            PASS the commit that filed the fold added lines and removed none
  G-FOLD-NOTHING-EDITED            PASS the committed text is a TRUE PREFIX of the file now
  G-THIRD-COLUMN-APART             PASS b412`s third column is kept apart and never summed
  G-FIVE-FINDINGS-CARRIED          PASS the one statement carries five findings as five bullets
  G-FIVE-VERIFIED-AT-SOURCE        PASS each of the five was verified at its own source
  G-NO-SUPERSESSION                PASS no finding is summarised as overturning another
  G-SPECIES-MINTED                 PASS the species is named in the filed fold
  G-THREE-INCIDENTS-NAMED          PASS all three incidents are named in the fold
  G-INCIDENTS-FROM-OWN-BANKS       PASS each incident was read from its own bank by the survey
  G-CURE-STATED                    PASS the shared cure is stated in the fold
  G-GUARD-CENSUS-MEASURED          PASS the guard census is a measurement, not an assertion
  G-TWO-GUARDED-ONE-NOT            PASS two of the three are found guarded and one is not
  G-WORKORDER-FILED                PASS the work-order is filed in the fold
  G-WORKORDER-TRIGGER              PASS it carries a trigger and says it is not started
  G-TECHNE-WRITTEN                 PASS the module stands beside the species
  G-TECHNE-NOT-PUSHED              PASS TECHNE-Core is ahead of its remote and was not pushed
  G-ORIENTATION-REFRESHED          PASS the orientation layer grows by append only
  G-L2-APART                       PASS the face declares L2`s two clauses apart
  G-L2-SCORED                      PASS both clauses of L2 are decidable from a printed result
  G-NOKERNELBUILD                  PASS no kernel is built: no tool of this act invokes a build
  G-NOLEANEDIT                     PASS no .lean file is written by any tool of this act
  G-NOFETCH                        PASS nothing is fetched: no tool of this act opens a URL
  G-NOGRADE-MOVED                  PASS the fold restates grades and confers none
  G-NOTERMINAL-RENAMED             PASS no terminal name is rewritten
  G-LANE-NOT-OPENED                PASS no lane opened
  G-TRIGGER-UNTOUCHED              PASS the disproof lane`s trigger text is unchanged
  G-FOUR-LISTS-OPEN                PASS no list of the four was closed
  G-ARC-CHECKPOINTED               PASS no witness-arc site was attempted
  G-NOPREMISE                      PASS h2 is not discharged
  G-NODOOR                         PASS no door restated
  G-NOROUTE                        PASS no route proposed
  G-NOKAPPA                        PASS no kappa measured
  G-NORULE-STRUCK                  PASS no rule struck or amended
  G-NODEPOSIT                      PASS no deposit action
  G-NOH2-MOVED                     PASS h2 is read and not moved
  G-NOLOCKEDFACE                   PASS no prior locked face was written by this act
  G-NOPRIORBANK                    PASS no prior act`s bank appears among this act`s changed paths
  G-NOBANKEDFERRY                  PASS no banked ferry is written by any tool of this act
  G-NOREGISTERROW                  PASS no register row edited
  G-NOKEYSTONE-EDIT                PASS no keystone edited or annotated by this act
  G-CORPUS-SCOPE                   PASS this act read the corpus and its own bank only
  G-TRAIL-APPEND-ONLY              PASS the trail`s committed text is a TRUE PREFIX of its text now
  G-CORR-APPEND-ONLY               PASS the table`s committed text is a TRUE PREFIX of its text now
  G-WRITELIST-KINDS                PASS every file THIS ACT wrote is named by the locked write list
  G-NOEXTRAKIND                    PASS no file of an unnamed kind was written by this act
  G-WRITELIST-COUNTS-NEW           PASS the write ledger counts untracked new files, not only modified
  G-NOSTAGE-A                      PASS no tool of this act stages with -A
  G-NOBORROWEDBAR                  PASS every bar asserted here is re-run here, not inherited
  G-ARMS-DECLARED-EQ-RUN           PASS the arms declared on the face are exactly the arms run
  G-ARMS-OWN-BANK                  PASS every arm reads this act`s own bank or git`s view of the repos
  G-ARMS-STRIP-PROSE               PASS every source-reading arm strips comments and strings by tokenizer
  G-ARMS-FOLD-MARKERS              PASS every prose-reading arm folds markup before matching
  G-ARMS-NO-SUBSTRING-VERDICT      PASS verdicts are read by line, never as a substring
  G-TWO-READINGS-TWO-FILES         PASS the pre-push and post-push readings land in two files
  G-NOWRAP-MIDTOKEN                PASS no report line is broken mid-token
  G-MUSTFAIL                       FAIL CONTROL -- a false arm must fail; it did

====================================================================================================
  ### ARMS RUN : 75. ### PASSING : 75. ### FAILING : 0 
  ### ### **VERDICT : ALL ARMS PASS**
====================================================================================================
