====================================================================================================
b460 -- THE CONTROL SUITE. ### **POST-PUSH READING.**
====================================================================================================
  arms declared : 64 ; run : 64 ; deferred : 0 
  declared-not-run [] ; run-not-declared []
  G-RECEIPT-IN-FULL                      PASS ferry in full
  G-SCAN-CLEAN                           PASS scan verdict line
  G-STEPZERO-CENSUS                      PASS both censuses 0
  G-STEPZERO-PINS                        PASS pins verdict line
  G-NOTHING-AHEAD-SAID                   PASS said on the face
  G-SURVEY-NOMISS                        PASS survey verdict line
  G-REG-LOCKED-FIRST                     PASS lock block present
  G-LOCKGATE-EIGHT                       PASS lock gate verdict line, 8 of 8
  G-SEAL-VERIFIES                        PASS seal verdict line
  G-PRIOR-CLOSED-PUSHED                  PASS b459 row 308 banked
  G-ADDENDUM-SLOT-DECLARED               PASS slot named
  G-ADDENDUM-SLOT-CONTENT-BOUNDED        PASS slot empty
  G-LOCKGATE-NOT-REDIRECTED              PASS 2 notes file(s), every one LOCK PERMITTED
  G-R70-REHEARSED-BEFORE-LOCK            PASS three rehearsals, all banked before the face was sealed
  G-R70-YIELDS-ON-FACE                   PASS every rehearsal`s yield rides on the face
  G-R71-ENTERED                          PASS (R71) entered on the face and in the trail
  G-C1-EDGE-DERIVED-NOT-ASSUMED          PASS edge sqrt(2), derived from f = g conv g-bar^#
  G-C1-EDGE-TWO-ROUTES                   PASS checked in the bank, not matched as a string: every cell below a^2=2 has pp == [] (3 of 3), and the first above it (a = 1.5) has pp = [2]
  G-C1-CELL-FROM-BANK                    PASS the cell is read from b437_cells.json as banked
  G-C1-SMALLEST-QUALIFYING               PASS the smallest qualifying a was taken : 1.3
  G-C1-FOUR-FIELDS                       PASS b452`s own four fields, in its own order
  G-C1-B452-TEXT-VERBATIM                PASS three fields carried verbatim from b452`s bank; only `hand read` is this act`s
  G-C1-VERDICT-BY-B452-RULE              PASS verdict OBJECT-SIDE by b452`s own rule
  G-C1-CONSTRUCTED-SAID                  PASS the control says it is constructed
  G-C1-DISPOSITION-APPLIED               PASS the disposition follows the verdict : THE FORTY-FOUR STAND AS READ
  G-C1-NO-CHAIN-RUN                      PASS no chain run, no channel computed
  G-C1-NO-RE-VERDICT                     PASS none of b452`s 82 re-verdicted
  G-C1-FORTYFOUR-DISPOSED                PASS the forty-four are disposed explicitly
  G-C2-THREE-MODULES-BY-PATH             PASS three modules, each staged by its own path
  G-C2-NOSTAGE-A-TECHNE                  PASS no -A in the TECHNE staging
  G-C2-NO-FORCE-NO-REBASE                PASS no force and no rebase anywhere in the component
  G-C2-REMOTE-BY-LSREMOTE                PASS the remote SHA came from ls-remote after the push
  G-C2-PUSH-OUTPUT-NOT-EVIDENCE          PASS the push output is named as not evidence
  G-C2-COUNT-PRINTED                     PASS the landed count is printed : 24
  G-C2-PRIVATE-AND-MODULES-ONLY          PASS both outward-facing checks are on the face
  G-N1-SCORED                            PASS (N1) scored in the bank
  G-N2-SCORED                            PASS (N2) scored in the bank
  G-N3-SCORED                            PASS (N3) scored in the bank
  G-SEAT-EXPECTATIONS-SCORED             PASS the seat`s own readings scored
  G-SPAN-BY-TOOL                         PASS span by tool
  G-NOGRADE-MOVED                        PASS declared; no row written
  G-NOKERNEL-WRITE                       PASS SIDE-kernel tracked-clean
  G-NODEPOSIT                            PASS no deposit action
  G-NOZENODO-WRITE                       PASS nothing at Zenodo
  G-NOH2-MOVED                           PASS h2 unmoved
  G-NOFETCH                              PASS no fetch beyond the excepted reads and pushes
  G-NOPRIORBANK                          PASS no prior act bank newer than the face
  G-FOUR-LISTS-OPEN                      PASS the four lists restated open
  G-CORPUS-SCOPE                         PASS from this act's commit : ['OPEN_TRAILS.md']
  G-TRAIL-APPEND-ONLY                    PASS one b460 record, appended
  G-CORR-APPEND-ONLY                     PASS row 309 appended
  G-ROWU1-UNEDITED                       PASS FACES_LEDGER.md untouched; row U1 unedited
  G-WRITELIST-KINDS                      PASS kinds written 43 ; NOT NAMED ON THE WRITE LIST : none
  G-WRITELIST-SPANS-ACT                  PASS the write-list arm spans all four repositories this act touched
  G-NOSTAGE-A                            PASS nothing staged by -A anywhere; paths named one by one
  G-ARMS-DECLARED-EQ-RUN                 PASS declared 64 ; run 64 ; deferred 0
  G-ARMS-NO-SUBSTRING-VERDICT            PASS verdicts read by line, A2
  G-TWO-READINGS-TWO-FILES               PASS the side is chosen below by b439`s predicate
  G-PUSH-SIDE-B439-PREDICATE             PASS origin/main == HEAD AND the head subject names the act
  G-PREPUSH-FILE-EXISTS                  PASS tracked hook present
  G-CARRIED-TOOLS-REPOINTED              PASS no b460 tool reads b459`s act artefacts : none
  G-MIRROR-TAGGED-BUILD                  PASS the tagged build exists
  G-MIRROR-NAME-BY-R69                   PASS (R69): act open, suffix carried
  G-MUSTFAIL                             PASS the negative control

  ### ### **ARMS RUN : 64. ### PASSING : 64. ### FAILING : 0 . ### DEFERRED : 0.**
  ### ### **VERDICT : ALL ARMS PASS**
====================================================================================================
