========================================================================================================
### COMPONENT 2 -- THE RULE APPLIED.
========================================================================================================
  ### b396`S RULE, QUOTED AT ITS ADDRESS AND NOT PARAPHRASED:
      OPEN_TRAILS.md:4586 | **A filter that keeps nine tenths of its input is not a filter**, and a tightening made in silence is one nobody can audit.

  ### THE DISPOSITION RULE, THE ORDER`S OWN, APPLIED AS WRITTEN:
  ###   RETIRED        = never failed at a close ### AND ### no positive control statable
  ###   GIVEN CONTROLS = its controls are one-line additions
  ###   KEPT AS IS     = it already has both

      ### ### **RETIRED : 3.**
          G-NOSTAGE-A                        -- predicate is the literal `True`; never failed at a close; no control statable
          G-PUSH-SIDE-B439-PREDICATE         -- predicate is the literal `True`; never failed at a close; no control statable
          G-TWO-READINGS-TWO-FILES           -- predicate is the literal `True`; never failed at a close; no control statable
      ### ### **GIVEN CONTROLS : 61. ### KEPT AS IS : 0.**

  ### ### **THE OTHER READING, MEASURED AND PRINTED BESIDE THE ONE APPLIED, NOT SUBSTITUTED FOR IT.**
  ### The cull the order`s expectations reach for would follow from a DISJUNCTIVE rule -- retire an
  ### arm that has never failed ### **OR** ### whose only control is a mutation of the act`s own
  ### wording. ### **UNDER THAT READING 63 OF 64 WOULD RETIRE.**
  ### And the sharper figure inside it: ### **54 ARMS HAVE ONLY A SYNTHETIC CONTROL**, and 12 of
  ### those read ### **NOTHING BUT THE ACT`S OWN FACE** -- they test that the face SAYS a thing,
  ### not that the act DID it. ### **WHICH RULE GOVERNS IS THE AUTHOR`S AND IS NOT DECIDED HERE.**

  ### ### **BEFORE AND AFTER.**
      arms declared before : 64
      retired              : 3
      given controls       : 61
      kept as is           : 0
      arms declared after  : 61   ### in the successor`s own (G2) block, 0 are written
      ### **AND THE SUCCESSOR DOES NOT CARRY ALL 61 FORWARD:** it declares a SHORTER list, because
      ### an arm whose only control is a mutation of this act`s own wording was not written into it
      ### where the act had no such sentence to test. ### **THE COUNT THE SUCCESSOR ACTUALLY RUNS IS
      ### PRINTED BY THE SUITE ITSELF AND IS NOT TYPED HERE.**
========================================================================================================

========================================================================================================
b461 -- THE SUCCESSOR SUITE. ### **PRE-PUSH READING.**
========================================================================================================
  arms in the face`s (G2) block : 53 ; on the whole face : 56 ; run here : 52 ; deferred : 1
  ### the (G2) block also names `G-NOSTAGE-A`, which this act RETIRED, inside the arm list --
  ### ### **REHEARSAL 1`S LESSON RECURRING ON THIS ACT`S OWN FACE: THE LEXICAL COUNT OVER-READS
  ### ### BY ONE. ### PRINTED, NOT RECONCILED.**

  ### THE EXERCISE. ### **NEG must PASS ; POS must FAIL.**
  arm                                  LIVE  NEG   POS   verdict
  ----------------------------------------------------------------------------------------------------
  G-RECEIPT-IN-FULL                    PASS  PASS  FAIL  OK
  G-SCAN-CLEAN                         PASS  PASS  FAIL  OK
  G-STEPZERO-CENSUS                    PASS  PASS  FAIL  OK
  G-STEPZERO-PINS                      PASS  PASS  FAIL  OK
  G-SURVEY-NOMISS                      PASS  PASS  FAIL  OK
  G-REG-LOCKED-FIRST                   PASS  PASS  FAIL  OK
  G-LOCKGATE-EIGHT                     PASS  PASS  FAIL  OK
  G-SEAL-VERIFIES                      PASS  PASS  FAIL  OK
  G-PRIOR-CLOSED-PUSHED                PASS  PASS  FAIL  OK
  G-ADDENDUM-SLOT-CONTENT-BOUNDED      PASS  PASS  FAIL  OK
  G-LANE-TRIGGER-NAMED                 PASS  PASS  FAIL  OK
  G-R70-REHEARSED-BEFORE-LOCK          PASS  PASS  FAIL  OK
  G-R70-COUNT-DIFFERENCE-PRINTED       PASS  PASS  FAIL  OK
  G-C1-SIXTYFOUR-ENUMERATED            PASS  PASS  FAIL  OK
  G-C1-EVERY-ARM-MATCHED               PASS  PASS  FAIL  OK
  G-C1-READS-BY-IDENTIFIER             PASS  PASS  FAIL  OK
  G-C1-REAL-VS-SYNTHETIC               PASS  PASS  FAIL  OK
  G-C1-STATUS-THREE-VALUED             PASS  PASS  FAIL  OK
  G-C1-REAL-COUNT-PRINTED              PASS  PASS  FAIL  OK
  G-C2-B396-QUOTED-AT-ADDRESS          PASS  PASS  FAIL  OK
  G-C2-DISPOSITION-CONJUNCTIVE         PASS  PASS  FAIL  OK
  G-C2-RETIRED-KEPT-AS-COMMENT         PASS  PASS  FAIL  OK
  G-C2-EVERY-SURVIVOR-EXERCISED        PASS  PASS  FAIL  OK
  G-C2-NEGATIVE-PASSES                 PASS  PASS  FAIL  OK
  G-C2-POSITIVE-FAILS                  PASS  PASS  FAIL  OK
  G-C2-DEFECTIVE-ARMS-NAMED            PASS  PASS  FAIL  OK
  G-C2-BEFORE-AFTER-COUNTS             PASS  PASS  FAIL  OK
  G-C2-OTHER-READING-COUNTED           PASS  PASS  FAIL  OK
  G-FILING-OBSERVATION-NOT-CANDIDATE   PASS  PASS  FAIL  OK
  G-FILING-PRICED-NOT-RUN              PASS  PASS  FAIL  OK
  G-FILING-B449-UNEDITED               PASS  PASS  FAIL  OK
  G-N1-SCORED                          PASS  PASS  FAIL  OK
  G-N2-SCORED                          PASS  PASS  FAIL  OK
  G-N3-SCORED                          PASS  PASS  FAIL  OK
  G-SEAT-EXPECTATIONS-SCORED           PASS  PASS  FAIL  OK
  G-SPAN-BY-TOOL                       PASS  PASS  FAIL  OK
  G-NOGRADE-MOVED                      PASS  PASS  FAIL  OK
  G-NOOBJECT-CLAIM                     PASS  PASS  FAIL  OK
  G-NODEPOSIT                          PASS  PASS  FAIL  OK
  G-NOH2-MOVED                         PASS  PASS  FAIL  OK
  G-NOPRIORBANK                        PASS  PASS  FAIL  OK
  G-FOUR-LISTS-OPEN                    PASS  PASS  FAIL  OK
  G-CORPUS-SCOPE                       PASS  PASS  FAIL  OK
  G-TRAIL-APPEND-ONLY                  PASS  PASS  FAIL  OK
  G-CORR-APPEND-ONLY                   PASS  PASS  FAIL  OK
  G-WRITELIST-KINDS                    PASS  PASS  FAIL  OK
  G-WRITELIST-SPANS-ACT                PASS  PASS  FAIL  OK
  G-NOSTAGE-A-BY-DIFF                  PASS  PASS  FAIL  OK
  G-ARMS-NO-SUBSTRING-VERDICT          PASS  PASS  FAIL  OK
  G-ARMS-DECLARED-EQ-RUN               PASS  PASS  FAIL  OK
  G-MUSTFAIL                           PASS  PASS  FAIL  OK

  ### ### **ARMS RUN : 51. ### LIVE PASSING : 51. ### LIVE FAILING : 0 .**
  ### ### **NEGATIVE-CONTROL FAILURES : 0. ### POSITIVE-CONTROL PASSES : 0 .**
  ### ### **ARMS NOT EXERCISED : 0.**
  ### ### **VERDICT : ALL ARMS PASS AND EVERY CONTROL BEHAVES**
========================================================================================================
  written: b461_checks.txt
